"Long","Lat","Official","Date_","Species","Status","Comments","GlobalID","CreationDate","Creator","EditDate","Editor"
-84.39659969202525,33.77960980655941,"Survey","2017-09-14 10:18:49.000001","Ruby-throated Hummingbird","Dead","GTech, Molecular Science & Eng.","{391BD729-C9A6-45F6-BA03-001DD67503D4}","","","",""
-84.36590752953283,33.969124431335494,"Incidental","2016-10-07 18:11:21","Ruby-throated Hummingbird","Dead","tail only remains ","{832380DE-188C-465D-B4E3-005C76E66F25}","","","",""
-84.2932084698953,33.77661346980053,"Incidental","2016-09-27 22:11:52.000001","Bay-breasted Warbler","Dead","","{74841B7E-BEEB-459C-8FF5-0067050A8736}","","","",""
-84.37065792316321,33.847229909383366,"Incidental","2016-09-11 18:04:53","Ruby-throated Hummingbird","Dead","Steve","{F3FAC153-888F-482A-BD66-0123E73623FC}","","","",""
-84.37315011386605,33.84815631919508,"Survey","2016-09-23 13:10:00","Brown Thrasher","Dead","Met woman named Dasha who will do random photos and co tact Adam re these and her tech village co tact","{11D1E444-8F08-4BA8-BC93-0168E9773BAB}","","","",""
-84.37296547593918,33.848197042439374,"Survey","2017-09-20 11:21:46","Tennessee Warbler","Dead","Not sure of ID. Hit window and fell into parking garage below ground level. Collected. Mary Kimberly.","{C6C57E4B-42B9-4A81-B70C-01CC94855E31}","","","",""
-84.3887637542772,33.7586788687632,"Survey","2016-05-14 10:24:50","Unknown Bird","","heavily decayed. medium sized bird. darker in general. possible thrush or catbird. close to skywalk. ","{CECA182F-164E-40EB-AD00-01FE9876F279}","","","",""
-84.33635473265463,33.94222021539577,"Survey","2016-10-28 12:41:17","Swamp Sparrow","Dead","","{BF618D39-F618-422B-82A7-0254F4E985BD}","","","",""
-84.39572024944694,33.774608127551645,"Survey","2016-04-28 11:09:00","Kentucky Warbler","Dead","Bird found 10 feet from the north side of the library building. Probably hit the second floor or higher. ","{4A0044B8-B6E0-4B83-A9E8-028A92BF5108}","","","",""
-84.37065683350677,33.84742140991521,"Incidental","2016-09-08 21:09:00","Unknown Bird","Dead","Steve","{597EB7FD-79C2-46F5-80EA-02ADE3ED87A6}","","","",""
-84.38800534980196,33.75482911027536,"Survey","2016-10-09 10:44:42","Red-eyed Vireo","Dead","","{574F22C9-E2EA-46B3-A588-02D29EB08292}","","","",""
-84.33608102766564,33.942518413554126,"Survey","2016-10-07 19:01:57","Gray-cheeked Thrush","Dead","in bucket","{186F8F7E-8059-4F3F-8547-034826F95A28}","","","",""
-84.39547313369205,33.77416578140123,"Survey","2016-04-30 11:59:35","Northern Cardinal","Dead","Female in front of door photos to follow","{44C234AC-66A0-43B9-BC76-035E2E08B84E}","","","",""
-84.37238450220725,33.846081693249786,"Survey","2016-09-02 11:27:42","Common Yellowthroat","Dead","Immature male","{CAA03B2D-34CC-45B6-B074-03BC16DF8787}","","","",""
-84.39564139173802,33.774122355648004,"Survey","2017-10-12 11:34:06","Unknown Warbler","Dead","severely decomposed; carcass disgarded","{265EDF42-E396-4EB1-B056-03BE0F377C13}","","","",""
-84.33676785887064,33.94260899453301,"Survey","2016-09-30 12:25:04","Brown Thrasher","Alive","flying into bldg, flew off","{5CAE0C80-1C07-4BDB-85D7-03FE07BCC86F}","","","",""
-84.35827045722914,33.783317279659585,"Incidental","2017-05-20 04:00:00","Cape May Warbler","Dead","AHY male. Reported via Ask Chippy","{69436755-BC27-407B-8040-0407D413930C}","","","",""
